,AC-mean,AC-10_moving_average,AC-se,AC-upper,AC-lower,HRS-mean,HRS-10_moving_average,HRS-se,HRS-upper,HRS-lower,RRS-mean,RRS-10_moving_average,RRS-se,RRS-upper,RRS-lower,NRSmean,NRS-10_moving,NRS-se,NRS-upper,NRS-lower,,,,,,,,,
40,4704.16,4504.9,414.8236555,4919.7236555,4090.0763445,3098.27,2719.992,370.515794,3090.507794,2349.476206,4108.91,4340.43,406.1230934,4746.5530934,3934.3069066,4886.8431372549,4489.33235294117,413.474257598319,4902.80661053949,4075.85809534285,,,,,,,,,
41,4556.97,4515.6,419.4633549,4935.0633549,4096.1366451,2823.5,2696.021,368.5470444,3064.5680444,2327.4739556,4485.76,4408.235,411.5146924,4819.7496924,3996.7203076,4439.33333333333,4371.19019607843,392.995094421539,4764.18529049997,3978.19510165689,,,,,,,,,
42,4652.27,4445.24,427.9363286,4873.1763286,4017.3036714,2757.8,2718.328,351.8539558,3070.1819558,2366.4740442,4131.69,4394.862,423.5195813,4818.3815813,3971.3424187,4441.57843137254,4303.00392156862,394.53868190322,4697.54260347184,3908.4652396654,,,,,,,,,
43,4480.97,4417.874,419.2784026,4837.1524026,3998.5955974,2738.45,2712.548,361.1472925,3073.6952925,2351.4007075,4314.14,4434.388,414.3451848,4848.7331848,4020.0428152,4945.45098039215,4286.05294117647,407.70082491336,4693.75376608983,3878.35211626311,,,,,,,,,
44,4499.28,4399.875,435.4134327,4835.2884327,3964.4615673,2517.75,2765.071,350.7189685,3115.7899685,2414.3520315,3916.45,4420.206,407.5067353,4827.7127353,4012.6992647,4433.60784313725,4180.94705882353,396.716452527071,4577.6635113506,3784.23060629646,,,,,,,,,
45,4323.93,4384.396,430.5277922,4814.9237922,3953.8682078,2984.17,2779.337,369.2871826,3148.6241826,2410.0498174,3999.58,4487.411,413.2339674,4900.6449674,4074.1770326,4804.66666666666,4165.12450980392,400.122062626694,4565.24657243061,3765.00244717723,,,,,,,,,
46,4856.81,4341.625,414.0019888,4755.6269888,3927.6230112,2839.52,2732.072,354.7192649,3086.7912649,2377.3527351,4704.03,4515.822,423.1866658,4939.0086658,4092.6353342,4471.54901960784,4081.4,391.409027296095,4472.8090272961,3689.99097270391,,,,,,,,,
47,4237.5,4291.222,405.3653225,4696.5873225,3885.8566775,2479.25,2741.667,332.3049402,3073.9719402,2409.3620598,4540.8,4441.146,428.5137085,4869.6597085,4012.6322915,4262.65686274509,4033.42745098039,406.403560039835,4439.83101102023,3627.02389094056,,,,,,,,,
48,4239.3,4292.091,399.8477582,4691.9387582,3892.2432418,2503.27,2776.184,349.1334352,3125.3174352,2427.0505648,4559.25,4434.903,421.3852414,4856.2882414,4013.5177586,4188.1862745098,3988.90294117647,387.931209822666,4376.83415099914,3600.9717313538,,,,,,,,,
49,4497.81,4278.764,430.8931277,4709.6571277,3847.8708723,2457.94,2820.178,330.8080784,3150.9860784,2489.3699216,4643.69,4421.678,413.6363378,4835.3143378,4008.0416622,4019.45098039215,3937.37058823529,377.634548849933,4315.00513708522,3559.73603938536,,,,,,,,,
50,4811.16,4245.737,414.5289967,4660.2659967,3831.2080033,2858.56,2871.523,351.5034479,3223.0264479,2520.0195521,4786.96,4388.268,423.7570405,4812.0250405,3964.5109595,3705.42156862745,3948.01666666666,386.391257970616,4334.40792463728,3561.62540869604,,,,,,,,,
51,3853.37,4204.339,392.6625028,4597.0015028,3811.6764972,3046.57,2845.911,363.7053451,3209.6163451,2482.2056549,4352.03,4330.668,403.9685459,4734.6365459,3926.6994541,3757.47058823529,3983.13823529411,381.293634333959,4364.43186962807,3601.84460096015,,,,,,,,,
52,4378.61,4229.819,410.3297167,4640.1487167,3819.4892833,2700,2826.05,345.7230834,3171.7730834,2480.3269166,4526.95,4359.019,428.6158829,4787.6348829,3930.4031171,4272.06862745098,3974.77647058823,391.028098614603,4365.80456920283,3583.74837197363,,,,,,,,,
53,4300.98,4223.39,413.7688524,4637.1588524,3809.6211476,3263.68,2854.325,374.5718174,3228.8968174,2479.7531826,4172.32,4326.841,413.6028527,4740.4438527,3913.2381473,3894.39215686274,3910.13921568627,387.085208578029,4297.2244242643,3523.05400710824,,,,,,,,,
54,4344.49,4294.385,415.4025714,4709.7875714,3878.9824286,2660.41,2791.476,347.1940147,3138.6700147,2444.2819853,4588.5,4303.943,413.3904867,4717.3334867,3890.5525133,4275.38235294117,3943.98333333333,388.544173781625,4332.52750711496,3555.43915955171,,,,,,,,,
55,3896.22,4299.274,397.6973848,4696.9713848,3901.5766152,2511.52,2791.331,347.8594019,3139.1904019,2443.4715981,4283.69,4249.912,405.8641427,4655.7761427,3844.0478573,3967.42156862745,3914.94411764706,383.917603836072,4298.86172148313,3531.02651381099,,,,,,,,,
56,4352.78,4346.525,400.2947103,4746.8197103,3946.2302897,2935.47,2802.66,357.0688761,3159.7288761,2445.5911239,3957.27,4237.416,403.3030575,4640.7190575,3834.1129425,3991.82352941176,3942.22549019608,380.434854691726,4322.66034488781,3561.79063550435,,,,,,,,,
57,4246.19,4314.529,417.1300523,4731.6590523,3897.3989477,2824.42,2753.946,352.8225844,3106.7685844,2401.1234156,4478.37,4277.188,418.5906682,4695.7786682,3858.5973318,3817.41176470588,3906.5862745098,403.623811904739,4310.21008641454,3502.96246260506,,,,,,,,,
58,4106.03,4370.563,417.7809003,4788.3439003,3952.7820997,2943.21,2723.872,360.4299253,3084.3019253,2363.4420747,4427,4242.849,410.6354977,4653.4844977,3832.2135023,3672.86274509803,3888.2794117647,395.88730708066,4284.16671884536,3492.39210468404,,,,,,,,,
59,4167.54,4456.225,399.2187006,4855.4437006,4057.0062994,2971.39,2732.522,362.1287522,3094.6507522,2370.3932478,4309.59,4203.482,414.2942348,4617.7762348,3789.1877652,4125.91176470588,3900.57745098039,406.18387400856,4306.76132498895,3494.39357697183,,,,,,,,,
60,4397.18,4501.218,429.5511351,4930.7691351,4071.6668649,2602.44,2671.087,354.970069,3026.057069,2316.116931,4210.96,4199.188,402.1204285,4601.3084285,3797.0675715,4056.63725490196,3882.04705882353,396.63124564143,4278.67830446496,3485.4158131821,,,,,,,,,
61,4108.17,4499.793,399.1710385,4898.9640385,4100.6219615,2847.96,2670.938,361.2483503,3032.1863503,2309.6896497,4635.54,4191.017,413.5711725,4604.5881725,3777.4458275,3673.85294117647,3837.43529411764,384.165836740618,4221.60113085826,3453.26945737702,,,,,,,,,
62,4314.32,4510.584,409.5978166,4920.1818166,4100.9861834,2982.75,2678.091,373.0131315,3051.1041315,2305.0778685,4205.17,4096.405,423.091483,4519.496483,3673.313517,3625.69607843137,3859.05784313725,392.317053259972,4251.37489639722,3466.74078987728,,,,,,,,,
63,5010.93,4548.427,426.7440636,4975.1710636,4121.6829364,2635.19,2679.604,350.6979115,3030.3019115,2328.9060885,3943.34,4095.101,428.494393,4523.595393,3666.606607,4232.83333333333,3839.59705882352,407.95388793295,4247.55094675647,3431.64317089057,,,,,,,,,
64,4393.38,4513.57,412.6897641,4926.2597641,4100.8802359,2658.96,2679.509,354.2582129,3033.7672129,2325.2507871,4048.19,4137.907,418.4023673,4556.3093673,3719.5046327,3984.99019607843,3818.3794117647,406.387491268393,4224.76690303309,3411.99192049631,,,,,,,,,
65,4368.73,4481.689,412.5478925,4894.2368925,4069.1411075,2624.81,2669.176,346.4979589,3015.6739589,2322.6780411,4158.73,4165.6,416.9565598,4582.5565598,3748.6434402,4240.23529411764,3816.85980392156,410.028643511521,4226.88844743308,3406.83116041004,,,,,,,,,
66,4032.82,4492.577,411.8548563,4904.4318563,4080.7221437,2448.33,2711.284,336.9654941,3048.2494941,2374.3185059,4354.99,4176.824,413.5096365,4590.3336365,3763.3143635,3635.43137254901,3828.27156862745,375.474469160692,4203.74603778814,3452.79709946676,,,,,,,,,
67,4806.53,4582.751,430.2097478,5012.9607478,4152.5412522,2523.68,2732.616,339.0563944,3071.6723944,2393.5596056,4134.98,4173.048,413.1821947,4586.2301947,3759.8658053,3634.3431372549,3855.22156862745,370.557824121818,4225.77939274927,3484.66374450563,,,,,,,,,
68,4962.65,4563.882,423.7363592,4987.6183592,4140.1456408,3029.71,2759.328,356.240456,3115.568456,2403.087544,4033.33,4231.204,414.9680342,4646.1720342,3816.2359658,3795.8431372549,3882.09411764705,398.990806096697,4281.08492374375,3483.10331155035,,,,,,,,,
69,4617.47,4520.769,433.7323279,4954.5013279,4087.0366721,2357.04,2740.055,327.0482741,3067.1032741,2413.0067259,4266.65,4233.15,430.1481118,4663.2981118,3803.0018882,3940.60784313725,3873.91176470588,387.364710705225,4261.27647541111,3486.54705400066,,,,,,,,,
70,4382.93,4531.884,423.9187128,4955.8027128,4107.9652872,2600.95,2766.957,350.4205808,3117.3775808,2416.5364192,4129.25,4242.354,409.9978042,4652.3518042,3832.3561958,3610.51960784313,3855.28235294117,386.771471331864,4242.05382427303,3468.51088160931,,,,,,,,,
71,4216.08,4502.265,411.8273594,4914.0923594,4090.4376406,2919.49,2797.486,365.7838314,3163.2698314,2431.7021686,3689.42,4220.139,399.5474215,4619.6864215,3820.5915785,3890.07843137254,3838.53725490196,396.520631305361,4235.05788620732,3442.0166235966,,,,,,,,,
72,4692.75,4515.782,432.531079,4948.313079,4083.250921,2997.88,2818.019,356.2145166,3174.2335166,2461.8044834,4192.13,4249.984,423.1657048,4673.1497048,3826.8182952,3431.08823529411,3811.61960784313,385.219772576585,4196.83938041972,3426.39983526655,,,,,,,,,
73,4662.36,4458.753,415.3181406,4874.0711406,4043.4348594,2634.24,2799.549,346.1079916,3145.6569916,2453.4410084,4371.4,4246.391,427.4287281,4673.8197281,3818.9622719,4020.65686274509,3795.86568627451,399.895449738874,4195.76113601338,3395.97023653564,,,,,,,,,
