HRS-mean,HRS-se,HRS-upper,HRS-lower,RRS-mean,RRS-se,RRS-upper,RRS-lower,SARSA-mean,SARSA-se,SARSA-upper,SARSA-lower,NRS-mean,NRS-se,NRS-upper,NRS-lower,,,
289.384999999999,6.40918266219631,295.794182662195,282.975817337803,336.682000000001,7.47084268114151,344.152842681143,329.211157318859,590.619999999999,31.0224121654919,621.642412165491,559.597587834507,744.125999999999,10.0551700417531,754.181170041752,734.070829958246,,,
259.416999999999,6.05864773058505,265.475647730584,253.358352269414,317.509999999999,7.02004279907903,324.530042799078,310.48995720092,539.609999999999,28.9220369478383,568.532036947837,510.687963052161,724.431,10.2055210498483,734.636521049848,714.225478950152,,,
289.116999999999,6.2511347767423,295.368134776741,282.865865223257,318.095,7.23090132064521,325.325901320645,310.864098679355,578.17,30.7988687152858,608.968868715286,547.371131284714,755.656,10.1927096001501,765.84870960015,745.46329039985,,,
259.841,6.12611336688964,265.96711336689,253.71488663311,287.763,6.50424553972564,294.267245539726,281.258754460274,524.009999999999,30.395100266359,554.405100266358,493.61489973364,709.074000000001,10.4677594791106,719.541759479112,698.60624052089,,,
251.293999999999,6.19000126653296,257.484001266532,245.103998733466,262.427,6.06853440138397,268.495534401384,256.358465598616,527.06,29.4514934882233,556.511493488223,497.608506511777,691.685999999998,10.6308407089082,702.316840708906,681.05515929109,,,
238.378,5.6392938166716,244.017293816672,232.738706183328,269.287,6.13937868204931,275.426378682049,263.147621317951,493.04,30.1521191107471,523.192119110747,462.887880889253,709.8,10.3722722694706,720.172272269471,699.427727730529,,,
237.223,5.74682584374001,242.96982584374,231.47617415626,248.405999999999,5.97439440885456,254.380394408854,242.431605591144,450.189999999999,30.2501947401695,480.440194740169,419.93980525983,687.894999999999,10.8631615220088,698.758161522008,677.03183847799,,,
220.616,5.37212716661605,225.988127166616,215.243872833384,239.039,5.66481205112529,244.703812051125,233.374187948875,482.729999999999,28.9273903092037,511.657390309203,453.802609690795,686.271,10.6557337720694,696.926733772069,675.615266227931,,,
201.681999999999,4.76201802723298,206.444018027232,196.919981972766,224.866,5.28520060067632,230.151200600676,219.580799399324,469.139999999999,31.0656912969529,500.205691296952,438.074308703046,668.698999999997,10.9038275781882,679.602827578185,657.795172421809,,,
181.928,4.41621940236326,186.344219402363,177.511780597637,215.010999999999,5.13147921733664,220.142479217336,209.879520782662,447.479999999999,31.3316230352052,478.811623035204,416.148376964794,662.046000000001,11.1355471484023,673.181547148403,650.910452851599,,,
191.905,4.87061586186735,196.775615861867,187.034384138133,219.992,5.41042370065605,225.402423700656,214.581576299344,426.27,28.9196024358998,455.1896024359,397.3503975641,663.027000000001,11.1856857562169,674.212685756218,651.841314243784,,,
183.557999999999,4.41856360600823,187.976563606007,179.139436393991,196.181,4.59352421390195,200.774524213902,191.587475786098,431.289999999999,30.4594756283747,461.749475628374,400.830524371624,643.278999999998,11.0464560538822,654.32545605388,632.232543946116,,,
175.519,4.01201743801329,179.531017438013,171.506982561987,192.87,4.66701233168545,197.537012331685,188.202987668315,405.05,27.5699674657153,432.619967465715,377.480032534285,599.848999999999,11.1251419308691,610.974141930868,588.72385806913,,,
172.539999999999,4.00812967648299,176.548129676482,168.531870323516,187.916999999999,4.19038249046748,192.107382490466,183.726617509532,422.119999999999,29.6044232294344,451.724423229433,392.515576770565,621.655,11.0043565845004,632.6593565845,610.6506434155,,,
166.655,3.76698900730824,170.421989007308,162.888010992692,181.995,4.16085612569079,186.155856125691,177.834143874309,381.409999999999,26.9960644157513,408.40606441575,354.413935584248,610.619999999999,11.0129923999611,621.63299239996,599.607007600038,,,
169.118,4.16204958316605,173.280049583166,164.955950416834,183.925999999999,4.06710017430452,187.993100174304,179.858899825694,407.309999999999,27.5320775082301,434.842077508229,379.777922491769,585.056999999998,11.3608527288107,596.417852728809,573.696147271187,,,
154.845,3.3955386402834,158.240538640283,151.449461359717,177.155999999999,4.41337620802414,181.569376208023,172.742623791975,333.8,21.5860972841223,355.386097284122,312.213902715878,558.518,11.2710903267231,569.789090326723,547.246909673277,,,
153.156999999999,3.29145591388265,156.448455913882,149.865544086116,176.491999999999,4.17841585952083,180.67041585952,172.313584140478,328.75,22.1340104633552,350.884010463355,306.615989536645,545.444999999999,10.9946781636809,556.43967816368,534.450321836318,,,
145.648999999999,3.44575696183582,149.094756961835,142.203243038163,165.444999999999,3.84625462621102,169.29125462621,161.598745373788,324.059999999999,27.929578904412,351.989578904411,296.130421095587,523.635,10.9698265651681,534.604826565168,512.665173434832,,,
143.828,3.3232102163634,147.151210216363,140.504789783637,160.405,3.78419887639855,164.189198876399,156.620801123601,313.85,27.2070043528975,341.057004352898,286.642995647103,525.601999999999,11.389412729299,536.991412729298,514.2125872707,,,
138.212999999999,3.30348946928451,141.516489469284,134.909510530714,155.469999999999,3.50781639711601,158.977816397115,151.962183602883,304.839999999999,21.7247413765685,326.564741376568,283.115258623431,506.042999999999,11.327741472945,517.370741472944,494.715258527054,,,
140.9,3.34939702938609,144.249397029386,137.550602970614,154.629999999999,3.71581921148117,158.34581921148,150.914180788518,323.08,25.4425821381908,348.522582138191,297.637417861809,507.335,11.0204761089831,518.355476108983,496.314523891017,,,
125.473999999999,2.74187658570024,128.215876585699,122.732123414299,152.214,3.55503959338154,155.769039593382,148.658960406618,297.969999999999,23.4676370968423,321.437637096841,274.502362903157,468.541999999999,11.0313317653181,479.573331765317,457.510668234681,,,
130.4,2.9276531818426,133.327653181843,127.472346818157,146.173999999999,3.28460627204576,149.458606272045,142.889393727953,273.289999999999,20.0940027989658,293.384002798965,253.195997201033,486.533999999999,11.388177177381,497.92217717738,475.145822822618,,,
121.078,3.0982218924562,124.176221892456,117.979778107544,141.370999999999,3.09702646613359,144.468026466133,138.273973533865,279.8,20.8426282295479,300.642628229548,258.957371770452,443.232,10.8489710271687,454.080971027169,432.383028972831,,,
120.567,2.87741638211017,123.44441638211,117.68958361789,142.932999999999,3.21285682220045,146.145856822199,139.720143177799,290.879999999999,22.2033270780154,313.083327078014,268.676672921984,423.964999999999,10.4806732745224,434.445673274521,413.484326725477,,,
114.912,2.82110348638274,117.733103486383,112.090896513617,132.290999999999,2.97201365814227,135.263013658141,129.318986341857,288.4,23.7482035471564,312.148203547156,264.651796452844,447.805999999999,11.031319520999,458.837319520998,436.774680479,,,
108.437,2.53298164758984,110.96998164759,105.90401835241,133.717999999999,3.03295454784427,136.750954547843,130.685045452155,275.229999999999,20.328597834061,295.55859783406,254.901402165938,427.399999999999,10.5187569725823,437.918756972581,416.881243027417,,,
105.919999999999,2.60360180180118,108.5236018018,103.316398198198,128.94,2.85433663705555,131.794336637056,126.085663362944,265.51,22.5838616509822,288.093861650982,242.926138349018,428.748999999999,10.3955538351036,439.144553835103,418.353446164895,,,
106.174,2.61234915202621,108.786349152026,103.561650847974,125.724,2.87840216492119,128.602402164921,122.845597835079,226.069999999999,16.3007978673165,242.370797867316,209.769202132683,434.521,10.9727178080498,445.49371780805,423.54828219195,,,
99.0249999999999,2.34028359441806,101.365283594418,96.6847164055818,123.88,2.80971031817729,126.689710318177,121.070289681823,260.829999999999,20.3732150113572,281.203215011356,240.456784988642,394.747999999999,10.1440989367828,404.892098936782,384.603901063216,,,
96.3890000000001,2.38808723451209,98.7770872345122,94.000912765488,114.675999999999,2.64983143438043,117.325831434379,112.026168565619,215.91,15.7422938980225,231.652293898023,200.167706101978,419.475999999999,10.8402333038584,430.316233303857,408.635766696141,,,
94.738,2.40339544512875,97.1413954451288,92.3346045548713,115.031,2.58550476191282,117.616504761913,112.445495238087,275.099999999999,19.1094481893384,294.209448189337,255.990551810661,385.043,10.1166095575513,395.159609557551,374.926390442449,,,
87.8360000000002,2.12744521131029,89.9634452113105,85.7085547886899,112.006999999999,2.57195799322596,114.578957993225,109.435042006773,227.84,16.7144510148336,244.554451014834,211.125548985166,388.779,10.4954127049319,399.274412704932,378.283587295068,,,
87.5929999999999,2.2923394537396,89.8853394537395,85.3006605462603,109.522999999999,2.5531090530639,112.076109053063,106.969890946935,253.529999999999,19.6634689490718,273.193468949071,233.866531050927,386.024999999999,10.5707298094173,396.595729809416,375.454270190582,,,
82.6669999999999,2.02748731582119,84.6944873158211,80.6395126841787,107.579999999999,2.44731136820246,110.027311368201,105.132688631797,228.389999999999,19.6838081178465,248.073808117846,208.706191882153,376.823,10.3623997703234,387.185399770323,366.460600229677,,,
79.3280000000001,2.30712618797655,81.6351261879767,77.0208738120236,104.554,2.47480377762313,107.028803777623,102.079196222377,204.7,15.5426003050462,220.242600305046,189.157399694954,356.092,9.9722634127651,366.064263412765,346.119736587235,,,
76.1360000000001,2.0837758098283,78.2197758098284,74.0522241901718,101.607,2.52300973623351,104.130009736234,99.0839902637665,231.869999999999,17.5604218386551,249.430421838654,214.309578161344,331.882999999999,10.1244582059962,342.007458205995,321.758541794003,,,
76.352,1.96215752633629,78.3141575263363,74.3898424736637,97.411,2.17542330261159,99.5864233026116,95.2355766973884,199.66,15.2820765155217,214.942076515522,184.377923484478,345.395,10.370276544558,355.765276544558,335.024723455442,,,
